-1.56955, -0.31740 
-1.56605, -0.15850 
-1.55454, -0.04426 
-1.53685, 0.05674 
-1.51345, 0.15056 
-1.48523, 0.23808 
-1.45309, 0.32018 
-1.41791, 0.39774 
-1.38061, 0.47165 
-1.34207, 0.54277 
-1.30320, 0.61200 
-1.26489, 0.68021 
-1.22587, 0.74937 
-1.17602, 0.82643 
-1.10521, 0.91938 
-1.01499, 1.02693 
-0.90985, 1.14529 
-0.79430, 1.27064 
-0.67283, 1.39921 
-0.54997, 1.52720 
-0.43019, 1.65080 
-0.31802, 1.76623 
-0.21794, 1.86969 
-0.13447, 1.95738 
-0.07224, 2.02473 
-0.03026, 2.07088 
0.01135, 2.11629 
0.05704, 2.16650 
0.10584, 2.22155 
0.15682, 2.28151 
0.20903, 2.34645 
0.26150, 2.41643 
0.31330, 2.49152 
0.36347, 2.57177 
0.41107, 2.65725 
0.45513, 2.74803 
0.49454, 2.84407 
0.52742, 2.94457 
0.55217, 3.04700 
0.56854, 3.14916 
0.57659, 3.24905 
0.57639, 3.34467 
0.56802, 3.43399 
0.55154, 3.51503 
0.52703, 3.58578 
0.49454, 3.64422 
0.45416, 3.68836 
0.40594, 3.71619 
0.34980, 3.72599 
0.28694, 3.71765 
0.22446, 3.69307 
0.16447, 3.65430 
0.10730, 3.60333 
0.05331, 3.54216 
0.00284, 3.47277 
-0.04376, 3.39716 
-0.08615, 3.31732 
-0.12397, 3.23525 
-0.15688, 3.15293 
-0.18454, 3.07235 
-0.20711, 2.99286 
-0.22598, 2.90691 
-0.24009, 2.81804 
-0.24955, 2.72885 
-0.25500, 2.64076 
-0.25704, 2.55522 
-0.25630, 2.47365 
-0.25341, 2.39747 
-0.24898, 2.32813 
-0.24364, 2.26705 
-0.23800, 2.21565 
-0.23270, 2.17538 
-0.22516, 2.13106 
-0.20077, 2.00460 
-0.14779, 1.73349 
-0.06913, 1.33198 
0.02878, 0.83269 
0.13952, 0.26820 
0.25669, -0.32888 
0.37386, -0.92597 
0.48460, -1.49045 
0.58251, -1.98975 
0.66117, -2.39125 
0.71415, -2.66237 
0.73856, -2.78892 
0.74620, -2.83386 
0.75173, -2.87539 
0.75760, -2.92825 
0.76307, -2.99043 
0.76741, -3.05991 
0.76987, -3.13471 
0.76971, -3.21280 
0.76619, -3.29218 
0.75856, -3.37085 
0.74610, -3.44681 
0.72805, -3.51804 
0.70074, -3.58838 
0.65473, -3.67286 
0.59891, -3.75035 
0.53752, -3.81511 
0.47216, -3.86828 
0.40443, -3.91101 
0.33593, -3.94443 
0.26825, -3.96971 
0.20300, -3.98798 
0.14177, -4.00039 
0.08615, -4.00808 
0.03775, -4.01220 
-0.00298, -4.01390 
-0.04032, -4.01418 
